"Vertical Axis: % of users","Horizontal Axis: User Wait Time              (time values are fractions of a day)"
"1","0","<100ms"
"2","0","<200ms"
"3","0","<500ms"
"4","0","<1s"
"5","0","<2s"
"6","0","<5s"
"7","0","<10s"
"8","0","<20s"
"9","0","<50s"
"10","0","<100s"
"1","0",""
"2","0",""
"3","36.8421052631579",""
"4","42.1052631578947",""
"5","21.0526315789474",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","30",""
"4","50",""
"5","20",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","35",""
"4","45",""
"5","20",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","36.8421052631579",""
"4","47.3684210526316",""
"5","15.7894736842105",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","36.8421052631579",""
"4","42.1052631578947",""
"5","21.0526315789474",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","37.5",""
"4","50",""
"5","12.5",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","36.8421052631579",""
"4","47.3684210526316",""
"5","15.7894736842105",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","38.8888888888889",""
"4","38.8888888888889",""
"5","22.2222222222222",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","31.5789473684211",""
"4","47.3684210526316",""
"5","21.0526315789474",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
"1","0",""
"2","0",""
"3","35",""
"4","45",""
"5","20",""
"6","0",""
"7","0",""
"8","0",""
"9","0",""
"10","0",""
